sigma,one_minus_sigma,t,zeta_abs_sigma,zeta_abs_reflect,symmetry_residual
0.7,0.30000000000000004,30.35,0.24301680743675613,0.34224210241601455,0.09922529497925842
0.3,0.7,30.35,0.34224210241601205,0.24301680743675613,0.09922529497925592
0.3,0.7,30.4,0.3211305648150364,0.2267569955589016,0.09437356925613477
0.7,0.30000000000000004,30.4,0.2267569955589016,0.32113056481503627,0.09437356925613466
0.3,0.7,30.45,0.3182174982248668,0.2241718176549073,0.09404568056995949
0.7,0.30000000000000004,30.45,0.2241718176549073,0.3182174982248626,0.09404568056995533
0.7,0.30000000000000004,25.1,0.26556269175671504,0.3405453265713979,0.07498263481468287
0.3,0.7,25.1,0.34054532657139486,0.26556269175671504,0.07498263481467982
0.7,0.30000000000000004,25.0,0.23984602496103075,0.3116974947155936,0.07185146975456286
0.3,0.7,25.0,0.31169749471558994,0.23984602496103075,0.0718514697545592
0.7,0.30000000000000004,25.05,0.24571397389711616,0.3168649230764527,0.07115094917933654
0.3,0.7,25.05,0.31686492307645253,0.24571397389711616,0.07115094917933637
0.7,0.30000000000000004,21.0,0.20337153199294206,0.2629085846379188,0.05953705264497672
0.3,0.7,21.0,0.2629085846379184,0.20337153199294206,0.05953705264497633
0.35,0.65,30.35,0.25686111419152635,0.19796202656169176,0.05889908762983459
0.65,0.35,30.35,0.19796202656169176,0.25686111419152635,0.05889908762983459
0.3,0.7,21.1,0.27429466615663095,0.21598356454391915,0.0583111016127118
0.7,0.30000000000000004,21.1,0.21598356454391915,0.2742946661566302,0.058311101612711025
0.7,0.30000000000000004,21.05,0.20370068486172643,0.26108545432320834,0.05738476946148191
0.3,0.7,21.05,0.26108545432320684,0.20370068486172643,0.05738476946148041
0.35,0.65,30.4,0.23144432362058903,0.1773716621692251,0.05407266145136394
0.65,0.35,30.4,0.1773716621692251,0.23144432362058903,0.05407266145136394
0.35,0.65,30.45,0.22914000474117863,0.17532291274802933,0.053817091993149296
0.65,0.35,30.45,0.17532291274802933,0.22914000474117863,0.053817091993149296
0.35,0.65,25.1,0.26383076528993266,0.2190135758532283,0.04481718943670435
0.65,0.35,25.1,0.2190135758532283,0.26383076528993266,0.04481718943670435
0.35,0.65,25.05,0.2336303510312419,0.193447950590674,0.04018240044056792
0.65,0.35,25.05,0.193447950590674,0.2336303510312419,0.04018240044056792
0.35,0.65,25.0,0.22595730662598554,0.1862191614245701,0.03973814520141544
0.65,0.35,25.0,0.1862191614245701,0.22595730662598554,0.03973814520141544
0.7,0.30000000000000004,14.0,0.1744900477485967,0.2099754201570235,0.03548537240842681
0.3,0.7,14.0,0.209975420157022,0.1744900477485967,0.03548537240842531
0.35,0.65,21.1,0.2101918106544065,0.1752865882323989,0.03490522242200761
0.65,0.35,21.1,0.1752865882323989,0.2101918106544065,0.03490522242200761
0.35,0.65,21.0,0.1913679106075499,0.1576137967367254,0.0337541138708245
0.65,0.35,21.0,0.1576137967367254,0.1913679106075499,0.0337541138708245
0.35,0.65,21.05,0.1913297133728792,0.15848614979600936,0.03284356357686985
0.65,0.35,21.05,0.15848614979600936,0.1913297133728792,0.03284356357686985
0.4,0.6,30.35,0.18342841080022992,0.15323816977432284,0.03019024102590709
0.6,0.4,30.35,0.15323816977432284,0.18342841080022992,0.03019024102590709
0.7,0.30000000000000004,14.1,0.148171268481123,0.17469805359363372,0.02652678511251072
0.3,0.7,14.1,0.17469805359363316,0.148171268481123,0.026526785112510165
0.4,0.6,30.4,0.15046257619519396,0.12458212517645542,0.025880451018738537
0.6,0.4,30.4,0.12458212517645542,0.15046257619519396,0.025880451018738537
0.4,0.6,30.45,0.14880831308167433,0.12308471533276988,0.025723597748904453
0.6,0.4,30.45,0.12308471533276988,0.14880831308167433,0.025723597748904453
0.3,0.7,14.2,0.17854430381268002,0.15498751460053234,0.023556789212147683
0.7,0.30000000000000004,14.2,0.15498751460053234,0.17854430381268,0.023556789212147655
0.4,0.6,25.1,0.19691986249653276,0.17427049796628363,0.022649364530249128
0.6,0.4,25.1,0.17427049796628363,0.19691986249653276,0.022649364530249128
0.35,0.65,14.0,0.17025349341144044,0.148610884370534,0.021642609040906452
0.65,0.35,14.0,0.148610884370534,0.17025349341144044,0.021642609040906452
0.4,0.6,25.05,0.15688647098713326,0.1390173069873868,0.017869163999746474
0.6,0.4,25.05,0.1390173069873868,0.15688647098713326,0.017869163999746474
0.4,0.6,21.1,0.153595217524789,0.13573672398478182,0.01785849354000718
0.6,0.4,21.1,0.13573672398478182,0.153595217524789,0.01785849354000718
0.4,0.6,25.0,0.14567982448705208,0.1288898978383965,0.016789926648655584
0.6,0.4,25.0,0.1288898978383965,0.14567982448705208,0.016789926648655584
0.4,0.6,21.0,0.12496561795362471,0.10936470789795798,0.01560091005566673
0.6,0.4,21.0,0.10936470789795798,0.12496561795362471,0.01560091005566673
0.4,0.6,21.05,0.12657306731810314,0.11118471481761222,0.01538835250049092
0.6,0.4,21.05,0.11118471481761222,0.12657306731810314,0.01538835250049092
0.35,0.65,14.1,0.12937569522421666,0.11453623314126009,0.01483946208295657
0.65,0.35,14.1,0.11453623314126009,0.12937569522421666,0.01483946208295657
0.35,0.65,14.2,0.13700565599948225,0.12310356730330049,0.013902088696181758
0.65,0.35,14.2,0.12310356730330049,0.13700565599948225,0.013902088696181758
0.4,0.6,14.0,0.1376425866450602,0.1259061122912762,0.011736474353783999
0.6,0.4,14.0,0.1259061122912762,0.1376425866450602,0.011736474353783999
0.55,0.44999999999999996,30.35,0.11510695594871653,0.12679531340754394,0.011688357458827403
0.45,0.55,30.35,0.1267953134075427,0.11510695594871653,0.011688357458826154
0.55,0.44999999999999996,30.4,0.06984398684723782,0.07881081093811187,0.008966824090874057
0.45,0.55,30.4,0.07881081093811103,0.06984398684723782,0.00896682409087321
0.55,0.44999999999999996,30.45,0.06883793017988518,0.0777328531800354,0.008894923000150212
0.45,0.55,30.45,0.07773285318003392,0.06883793017988518,0.008894923000148741
0.55,0.44999999999999996,25.1,0.13797821162648816,0.14635983168169725,0.008381620055209094
0.45,0.55,25.1,0.14635983168169692,0.13797821162648816,0.00838162005520876
0.55,0.44999999999999996,21.1,0.10275130927348212,0.10955069311117062,0.006799383837688494
0.45,0.55,21.1,0.10955069311117023,0.10275130927348212,0.0067993838376881055
0.4,0.6,14.2,0.0987500038956571,0.09199635176717524,0.006753652128481863
0.6,0.4,14.2,0.09199635176717524,0.0987500038956571,0.006753652128481863
0.4,0.6,14.1,0.08673347587276414,0.08013899295931456,0.006594482913449579
0.6,0.4,14.1,0.08013899295931456,0.08673347587276414,0.006594482913449579
0.55,0.44999999999999996,14.0,0.10976927987303138,0.1147061556647926,0.004936875791761219
0.45,0.55,14.0,0.11470615566479248,0.10976927987303138,0.0049368757917610945
0.55,0.44999999999999996,21.05,0.06360503527614382,0.06844808426708363,0.004843048990939805
0.45,0.55,21.05,0.06844808426708279,0.06360503527614382,0.004843048990938972
0.45,0.55,21.0,0.06427378806653253,0.0595187475034802,0.004755040563052329
0.55,0.44999999999999996,21.0,0.0595187475034802,0.06427378806653211,0.004755040563051913
0.55,0.44999999999999996,25.05,0.08589362057011242,0.09039939019841357,0.004505769628301154
0.45,0.55,25.05,0.09039939019841262,0.08589362057011242,0.004505769628300196
0.45,0.55,25.0,0.07092921320220626,0.06789243691632932,0.003036776285876938
0.55,0.44999999999999996,25.0,0.06789243691632932,0.07092921320220591,0.003036776285876591
0.55,0.44999999999999996,14.2,0.06517036153898254,0.0674369801857598,0.0022666186467772687
0.45,0.55,14.2,0.06743698018575874,0.06517036153898254,0.0022666186467762
0.55,0.44999999999999996,14.1,0.04652537014077718,0.04821859398107992,0.0016932238403027447
0.45,0.55,14.1,0.04821859398107955,0.04652537014077718,0.00169322384030237
